DKFFE,DKYE,DKLL,DKNX,DKQS,DKWC
139000,124136.535,2.708,30,60,0.14223192691861186
82500,80804.025,2.979,30,13,0.0089409991633147
65000,41498.9,2.708,10,48,0.0478654488833854
190000,149027.35,2.708,22,75,25.68697945808526
250000,134304.175,2.708,24,161,8.447019557352178
300000,298611.11,2.708,24,2,8.93989879655419
100000,83333.4,2.708,13,31,4.35198468445742
125000,109797.78,2.708,14,25,0.038700734949088655
150000,130681.18,2.708,12,22,7.05409070380847
105000,102231.345,2.708,25,12,0.029625873285112903
73000,59179.4,2.708,20,59,0.13407920584722888
300000,180854.48,2.708,23,135,8.162399088789243
150000,118479.86,2.708,29,105,4.320351826492697
292500,287889.09,2.708,29,9,0.0010178936645388603
245000,171620.2,2.979,17,75,8.60473024044768
100000,93917.765,2.708,20,20,0.02367957001843024
150000,105683.585,2.708,14,58,24.83890795467596
250000,216935.34,2.708,21,45,53.97449631098425
300000,276335.885,2.708,13,15,0.014560646668542176
350000,187982.36,2.708,19,123,18.867219057690818
200000,105388.085,2.708,23,156,0.3502188450656831
280000,241260.585,2.979,12,24,10.334957612503786
114000,108152.025,2.708,30,30,0.02817821469216142
285000,180181.32,2.979,17,90,7.769493134372169
125000,109152.095,2.708,17,33,1.4863461783679668
155000,35412.85,2.292,5,47,0.04330487698462093
90000,74423.16,2.708,23,65,13.14713419637701
100000,24034.42,2.708,25,247,4.986775710785878
200000,156736.68,2.708,24,84,0.5712111332977656
300000,211977.465,2.979,12,49,13.00653973207227
110000,64777.86,2.708,23,139,21.124144372035516
200000,39381.61,2.708,26,268,10.851019763016666
250000,221069.74,2.708,25,50,6.016219019686105
350000,261421.43,2.708,26,107,55.8764106372837
300000,233000.395,2.708,9,27,4.578613869554829
300000,231521.8,2.708,30,118,25.480326559743844
350000,242146.245,2.708,28,139,20.006611863034777
125000,91026.375,2.708,12,45,0.06438524222176056
300000,162194.77,2.708,24,160,42.525720489240484
300000,242619.015,2.708,27,88,119.25308538452373
350000,221180.585,2.708,14,71,1.1532298488018569
300000,275147.075,2.708,29,45,12.863363032520283
300000,238452.895,2.979,23,78,6.1544994526484516
60000,59655.17,2.708,12,1,3.588526150568214
125000,109616.38,2.979,26,58,4.01514443961787
150000,80708.05,2.708,23,153,1.350077732160571
150000,136458.355,2.979,29,51,7.5986484573513735
175000,125705.245,2.708,30,141,15.780356256145751
295000,275852.735,2.979,20,22,0.05297737498767674
299500,286759.585,2.979,25,20,0.034247030154801905
125000,108153.885,2.708,15,30,0.03233006071241107
190000,144083.285,2.979,30,128,11.53344886447303
139000,0.0,2.708,8,96,1.0113581083714962e-09
245000,234598.065,2.708,30,25,0.011763649323256686
350000,277663.305,2.708,21,68,1.6198914048145525
298500,296033.41,2.708,30,5,0.0013792485115118325
125000,94842.945,2.708,28,113,9.420742871734546
225000,174334.185,2.708,14,45,38.5267915414297
250000,140125.105,2.708,25,162,1.450971662561642
300000,260272.185,2.979,12,23,0.05129547687829472
198000,183418.465,2.708,18,21,0.04797693600994535
125000,122083.345,2.708,24,10,10.40245659960783
65000,64859.285,2.708,25,1,0.0011201956658624113
195000,172859.32,2.979,15,26,0.01746348084998317
233000,168722.255,2.708,13,50,0.028847332578152418
310000,287935.645,2.708,30,41,0.01983854197897017
175000,139483.45,2.708,19,59,10.651589746121317
155000,117111.16,2.708,19,70,2.00205606209056
215000,197425.13,2.708,25,36,0.00985683046746999
300000,227500.79,2.708,30,124,52.24439188197721
142500,142129.695,2.708,22,1,0.0011508684256114066
150000,121389.07,2.708,28,92,1.2818254703161074
85000,71543.335,2.708,15,35,0.048563254516921006
150000,119752.22,2.708,27,92,21.18227059749188
250000,143229.18,2.708,30,197,5.494781545712613
150000,128557.855,2.708,17,37,0.014891761427861638
350000,250077.785,2.708,7,26,44.13922785874456
290000,203068.575,2.708,21,95,31.29286846294417
125000,71568.42,2.708,18,108,4.507438087443006
85000,74893.97,2.708,27,57,0.5208794923964888
298500,280392.45,2.979,30,37,0.0542698375065811
250000,139160.97,2.708,14,84,22.20365485516959
150000,118496.565,2.979,10,29,0.047851722774794325
105000,41017.95,2.708,30,257,6.670096437141183
85000,77082.525,2.979,13,18,0.002508808975107968
200000,179879.17,2.708,29,54,0.02239589547389187
115000,54341.33,2.708,26,196,5.789872411180113
150000,146573.695,2.708,12,4,0.0022793838288635015
140000,126638.135,2.708,30,54,0.04599023435730487
150000,44849.815,2.708,10,88,22.08810339016054
350000,284045.62,2.708,28,91,17.050268231600057
150000,109064.05,2.708,16,63,7.65389099852473
90000,55343.125,2.708,19,105,5.343867394250992
250000,248976.855,2.708,26,2,0.004225670185405761
200000,130668.91,2.708,22,114,25.85831522011722
125000,106479.905,2.708,29,77,4.820077176453196
150000,136248.695,2.708,14,19,0.0071200304955709726
150000,132036.92,2.979,17,32,14.628809156420175
175000,150694.5,2.708,17,36,0.7812796803773381
95000,81778.39,2.708,27,66,20.7148429624649
60000,47379.02,2.708,19,61,0.14044542409101268
350000,298210.485,2.708,22,53,28.6113641342381
300000,245911.16,2.979,13,34,17.87882824227563
125000,117720.89,2.708,25,26,0.013612065653433092
87000,55554.89,2.708,10,48,10.144395476105274
125000,94776.47,2.708,30,124,6.242663284167065
125000,110942.36,2.708,22,41,7.847290396050084
165000,147449.02,2.979,10,15,0.007751709839794785
150000,143871.585,2.979,22,16,0.007468088384484872
180000,39792.695,2.521,4,38,478.1529843169337
150000,131090.635,2.708,21,43,26.349536396650365
134000,115022.135,2.708,20,45,0.11929444065026473
125000,115327.35,2.708,16,19,8.707480796510936
125000,46180.585,2.708,17,141,0.2423233892695862
150000,60144.135,2.708,26,216,39.221175453218166
250000,161495.535,2.708,27,149,7.519656745280372
125000,93963.32,2.708,19,71,3.0234521219827
86000,85146.085,2.708,30,6,0.013167593075195327
300000,208754.645,2.979,23,110,6.089407679304713
125000,99961.865,2.708,26,87,16.20984037760354
275000,273309.51,2.708,26,3,0.00664806884014979
50000,49684.385,2.708,11,1,0.0024416717642452568
204000,149600.0,2.708,10,36,10.689660526346415
75000,66217.205,2.708,21,40,11.810424639144912
280000,182441.465,2.708,27,147,54.051025719876634
125000,69092.785,2.979,10,59,4.705105018147151
289500,271007.18,2.708,30,37,0.08104984037345275
296500,235964.665,2.708,27,93,52.853409989125794
275000,268205.215,2.708,23,10,0.018800399033352733
145000,74396.26,2.979,22,154,14.529568351164926
200000,9999.905,2.292,5,57,665.8591475135763
225000,112500.0,2.708,26,188,16.82216741448792
350000,215914.51,2.708,20,111,20.4848468725977
205000,125092.105,2.979,10,52,35.102975885238266
200000,133823.485,2.708,25,128,43.44111398723908
250000,183121.385,2.708,30,135,11.319700807682239
100000,19325.095,2.708,25,258,3.6728422175510786
175000,85451.485,2.708,18,126,4.261350083514117
100000,87459.03,2.708,28,63,0.4686358672042843
300000,265476.225,2.708,20,37,28.005574425158557
300000,150701.635,2.708,25,179,40.358940198639175
300000,81963.175,2.708,30,291,106.66835243967944
180000,171154.585,2.979,25,23,0.029107063834089786
150000,123610.995,2.708,17,45,21.803799995817826
250000,179365.75,2.708,10,38,56.244681775337085
200000,86459.865,2.708,7,50,0.013072177564026788
100000,62233.815,2.708,10,50,0.014089079937548377
50000,39166.58,2.708,21,71,1.2936190387699753
140000,92742.18,2.708,10,45,0.07818927713378798
150000,117747.105,2.708,25,88,33.44243602975621
150000,115148.105,2.979,24,92,15.577259907644475
285000,275359.16,2.979,25,16,0.022314487723633647
125000,81718.27,2.708,29,160,20.002117331066984
275000,189162.175,2.979,8,33,19.549212174286367
230000,0.0,2.979,12,144,6.76081981509924e-09
204000,176686.445,2.708,19,40,19.788263744238066
250000,197080.71,2.708,23,78,1.0381802617921494
200000,64037.07,2.708,22,198,31.82438912732323
150000,114000.0,2.979,28,116,1.650530779530527
50000,5395.26,2.708,13,142,2.0955259910433597
300000,203780.24,2.708,26,131,28.649355082627153
300000,217312.02,2.979,15,60,84.45579191396246
125000,74999.96,2.521,5,25,200.76743594071013
150000,132415.575,2.979,22,44,3.728541555145057
225000,69241.575,2.979,18,163,10.712836802747915
150000,110695.905,2.708,29,127,27.215439905092353
75000,69375.0,2.708,15,17,1.82721119922644
350000,314202.125,2.708,26,47,0.12178366351872683
105000,94393.51,2.708,25,44,0.1075943185860524
70000,37833.585,2.708,10,60,0.10500762133597163
270000,218461.64,2.708,23,71,22.158570356026758
137500,14376.455,2.708,16,176,0.05151117654531845
350000,294849.07,2.708,24,63,10.328055006859358
300000,216712.04,2.979,26,119,9.564780459739268
265000,222758.795,2.708,17,41,33.162025049648946
85000,75441.045,2.708,22,41,5.576357469326467
210000,193375.0,2.708,28,41,0.9444438218779396
70000,56583.295,2.979,27,91,2.6114617216881015
350000,325008.14,2.708,10,10,34.12530218221946
125000,114583.325,2.521,1,1,143.64327207638416
95000,52245.4,2.708,26,173,13.814244917230099
178000,111577.62,2.708,21,115,48.40454429140664
117500,114032.5,2.979,25,14,0.008376955462154001
200000,152272.74,2.708,28,112,44.04301011725329
350000,143304.06,2.708,27,223,32.276063997182064
145000,42499.9,2.708,17,155,58.459369791722565
300000,172061.23,2.979,25,161,40.81136995594716
50000,44653.255,2.708,15,24,0.0696484881118522
300000,230765.805,2.979,16,55,5.845713780960068
250000,165736.515,2.708,17,82,44.044763457990484
170000,109707.76,2.708,21,110,1.0963825911894673
350000,100675.56,2.708,12,108,13.024719285531319
200000,64582.955,2.708,18,159,1.8957941944390768
300000,237499.95,2.708,12,35,50.40662263639388
250000,199641.315,2.708,15,44,17.061837887304137
115000,79541.605,2.708,22,103,10.513818660692777
195000,145276.99,2.979,9,31,4.092890801897738
275000,262013.87,2.979,17,13,5.14341189165134
135000,127875.0,2.708,26,25,0.7918687496130588
92500,56852.17,2.708,8,40,0.034210284902655985
245000,224972.81,2.708,25,36,0.023790341714629903
100000,54747.785,2.708,30,206,6.214720627947827
200000,46987.255,2.708,20,196,6.7777777949595475
300000,145401.02,2.708,14,96,28.361926832032623
300000,267920.21,2.708,30,60,0.062161308771464974
49500,1216.58,2.708,24,283,12.190366629711662
115000,111372.54,2.708,27,16,0.03089727535552811
90000,78500.0,2.708,13,24,0.9090840809076326
224000,167066.565,2.708,21,82,4.374904322030488
200000,167845.59,2.708,28,79,8.953273349849042
225000,166875.0,2.979,16,61,8.49134832850541
330000,205473.35,2.708,27,157,7.1917835356725845
125000,105802.675,2.708,15,34,0.029688645066926256
200000,189565.075,2.708,18,15,0.008486214879667386
300000,264418.17,2.979,25,53,30.385196510411333
270000,115974.11,2.979,29,239,23.41206702380441
100000,62777.815,2.708,13,66,10.214459687573253
274000,245439.645,2.979,21,37,0.3377900160558056
195000,143928.54,2.708,29,127,59.243571876664646
75000,74753.105,2.708,30,2,0.0016387641517212614
325000,265769.715,2.708,26,80,7.52638358384138
125000,100985.325,2.708,29,97,25.370987616945058
100000,63457.48,2.708,26,146,7.2537669344383175
35000,28279.07,2.708,29,97,3.9248765327465662
110000,56728.8,2.708,23,159,2.842095240499475
125000,50394.83,2.979,23,190,11.773834744402848
125000,116261.415,2.708,25,31,0.012253238528501242
190000,74712.73,2.979,28,240,23.155487212367007
105000,86594.775,2.708,22,62,11.83899700283655
150000,45242.85,2.708,18,163,32.150791938103794
95000,84316.73,2.708,22,41,6.500340700993547
215000,172799.07,2.708,20,61,0.04526724776951596
126500,124743.05,2.708,24,6,1.8276657610258553
125000,41878.455,2.979,24,216,1.3721789501796593
110000,75500.035,2.708,30,154,6.459729775699088
125000,53692.725,2.708,30,245,1.050156881166913
250000,241818.12,2.708,24,14,0.004376664786832407
145000,50446.14,2.708,17,145,13.019580160929763
180000,122000.0,2.708,23,113,8.858773702158942
184000,159977.83,2.708,26,59,2.01701098374906
150000,95246.255,2.979,29,171,26.527793839777587
140500,136440.1,2.708,19,9,0.015314444288378581
300000,211090.35,2.708,30,147,15.499444099521497
95000,83388.84,2.708,13,23,5.135854945023311
255000,204765.34,2.979,25,84,2.2736281819816213
95000,81277.72,2.708,23,55,10.051710004059714
68500,51375.1,2.708,29,122,6.4971425964613445
350000,296584.025,2.708,30,83,46.31851200613892
299000,254813.91,2.708,18,41,0.0026696680579334497
157000,6752.345,2.708,30,350,20.29215763184493
162000,157950.0,2.979,6,2,2.690324312192388
140000,135418.14,2.708,24,14,0.0047490677097812295
135000,112500.0,2.708,13,31,5.965179324004566
300000,290227.015,2.979,21,12,5.6988123950432055
300000,222224.695,2.979,27,118,17.09527413340402
265000,114076.025,2.979,8,58,56.259335939146695
82500,79750.02,2.708,26,16,2.9719709250493906
150000,22670.69,2.708,8,83,7.899480002892233
125000,101043.225,2.708,27,88,1.6575355768727604
113000,101457.965,2.979,20,34,0.07193350599845871
300000,283281.405,2.708,18,16,0.02308700472349301
235000,220899.97,2.979,15,14,10.7240110115672
125000,102158.875,2.979,7,17,0.004828433753573336
235000,207583.24,2.708,30,65,3.6288437156472355
232500,227656.25,2.708,24,9,14.713862077507656
50000,40516.43,2.708,29,96,0.16480454547854606
150000,137499.985,2.708,17,22,10.025774225214263
125000,90625.055,2.708,21,88,6.458671779706492
115000,103145.77,2.708,30,58,0.1311090340896044
30000,28250.0,2.708,25,26,3.010333104244637
300000,266000.0,2.708,25,49,17.951926728128456
140000,138249.995,2.979,25,6,0.418031178007368
94000,85738.855,2.708,30,50,0.05508245583041571
250000,176180.775,2.708,14,58,0.0684867421805393
200000,94817.335,2.708,28,213,7.978985555135296
84500,75160.095,2.708,28,56,11.011411927596782
250000,192943.88,2.708,30,118,12.186938799801283
285000,189132.025,2.708,30,163,34.175239633594174
250000,149317.77,2.708,28,173,17.106048343033763
300000,289655.16,2.708,18,10,19.36206539097475
300000,276851.875,2.979,20,26,3.01717543421546
50000,48944.76,2.708,29,12,0.02759613327361876
300000,64029.945,2.979,12,118,53.78704355278751
200000,156142.41,2.708,28,104,1.0832248539372813
57500,47885.745,2.979,11,26,0.04441477311775088
100000,64097.965,2.979,12,59,24.289699298904452
290000,286984.375,2.979,25,5,0.005561953585129231
110000,93704.775,2.708,29,77,1.783067915283027
150000,144913.74,2.979,26,17,0.011325971456244588
225000,108545.69,2.708,30,228,7.6102793681347976
107000,54175.13,2.979,13,86,0.4861293978538015
300000,290625.0,2.708,26,15,2.7082014248589985
108000,105737.08,2.979,25,10,0.025409515146748163
220000,146966.705,2.708,20,98,32.080867413809756
115500,104817.425,2.708,20,30,0.03647191188065335
300000,117654.57,2.979,26,221,0.9601300268404884
149000,142411.925,2.708,30,26,0.0557965770130977
220000,186388.84,2.979,13,29,44.78957643575268
300000,252468.225,2.979,29,85,2.712222574307816
67500,48823.23,2.708,28,127,0.3529638959807926
248000,240491.035,2.708,30,18,0.027876907639438286
200000,147221.195,2.708,28,122,3.8528367500694003
145000,143660.57,2.979,19,3,0.009969995502615348
148000,98151.87,2.708,12,55,0.1347216447320534
250000,230555.54,2.708,21,27,58.80291903959005
350000,307582.095,2.708,27,58,18.185457407147624
250000,215628.675,2.708,19,41,10.14920484245522
150000,89995.265,2.708,25,150,13.221906471066177
110000,82708.925,2.979,10,34,0.05238617054419592
50000,2666.475,2.292,5,57,0.03396312160566595
150000,89143.895,2.979,12,66,4.778457617634558
300000,275757.285,2.708,9,10,1.6733952940558083
145000,43508.18,2.708,28,263,10.619837408390595
265000,235867.455,2.708,27,53,0.01763733959523961
87500,77827.615,2.708,28,56,12.288089274137747
300000,201478.255,2.708,24,121,19.816483931819675
300000,2969.045,2.292,5,59,2376.0489262214096
108000,102000.0,2.979,27,29,0.29879721722682007
285000,202681.09,2.979,26,123,8.958206059440272
300000,253017.76,2.708,29,81,25.41056186275091
150000,124999.89,2.708,13,31,6.7379770266707055
300000,219267.91,2.708,28,124,30.145139672327787
125000,123263.88,2.708,24,6,1.80939304450294
125000,54166.78,2.708,9,65,12.324402243546501
350000,275462.98,2.708,10,29,55.90022139623761
250000,169900.13,2.708,20,95,47.26201122679049
250000,183320.27,2.708,10,36,0.036740841111168265
195000,176758.96,2.708,30,53,0.13454606305458583
300000,221460.08,2.708,26,110,104.42479936679592
150000,107033.7,2.979,16,67,17.417707129076007
185000,151894.635,2.708,20,56,0.1220010761753656
105000,100574.31,2.708,25,19,0.04853878961876035
218500,180736.985,2.979,16,42,14.359936661930988
225000,195344.47,2.979,15,30,0.029027208918705583
235000,110355.41,2.708,8,54,4.7373139333794825
80000,77356.425,2.708,20,11,0.01939745720301289
92500,82097.225,2.708,22,41,5.685594893089728
257000,236812.36,2.708,30,45,0.007247096189530566
125000,75144.025,2.979,30,191,2.8909338679659413
250000,241566.21,2.708,29,19,0.012171424139523879
343500,269343.105,2.708,26,93,31.36003388732206
120000,108769.57,2.708,28,48,0.07513877819292247
300000,256506.89,2.708,20,46,0.9264425958390348
200000,73809.415,2.708,28,244,8.867558379730326
200000,108096.305,2.708,10,60,0.047835367600782774
100000,97499.995,2.708,26,12,10.907690881722374
110000,109192.23,2.708,28,4,0.00520621363830287
250000,45958.32,2.708,17,174,12.3340044929937
300000,270689.62,2.708,26,45,13.278131058847066
348500,315899.67,2.708,30,53,0.07702921552117914
119500,102238.86,2.708,23,55,12.687782584049273
250000,214720.465,2.979,15,32,25.884493611229118
170000,152343.695,2.708,22,38,0.012418623140547425
300000,211555.05,2.979,24,113,13.608771281607915
107000,98826.395,2.979,30,46,7.081220652646152
159000,119742.745,2.979,17,63,8.998001464657136
125000,85864.16,2.708,20,93,16.36746205437521
150000,135416.655,2.979,25,44,27.054387618147302
172000,135880.005,2.979,10,29,3.8889300245500635
330000,263096.775,2.708,26,88,7.92947224539239
80000,73715.895,2.708,30,45,0.012471721027395688
75000,70048.68,2.708,15,15,0.020810936242924072
225000,144849.455,2.979,30,175,28.65665527121746
100000,75833.43,2.708,30,124,17.248130627325736
225000,222765.88,2.708,30,6,0.005608041392406449
245000,219113.255,2.979,29,59,0.916403480048757
150000,112029.375,2.708,26,107,15.566318844561465
300000,285031.34,2.708,27,25,0.0517177966539748
300000,261658.72,2.708,13,24,10.976946936367312
281500,274400.29,2.708,21,9,0.0055656194454059005
200000,177008.75,2.708,24,47,0.09031830125604756
145500,132292.985,2.708,26,42,0.06164834985975176
150000,113262.525,2.708,16,57,14.417652413496398
115000,100548.305,2.708,27,60,0.10318113709217869
150000,122127.3,2.979,13,35,0.07598900905577466
300000,233472.875,2.708,28,105,12.422953505418263
230000,227716.235,2.708,30,6,0.0036215534491930157
275000,171361.295,2.708,28,164,2.1821109690645244
150000,131818.16,2.979,16,30,4.787256059556967
80000,69997.985,2.708,20,40,0.056201673054602
79000,78140.25,2.708,25,5,0.0018168444948969409
240000,206000.085,2.708,27,67,8.598475959326606
300000,138170.705,2.979,22,167,47.670010997884674
108000,103224.655,2.708,30,26,0.055563554909895174
200000,159824.035,2.708,17,51,0.5352636602183338
285000,254877.82,2.708,23,41,0.0054347354744095355
177000,88874.39,2.708,25,179,15.762875282787718
195000,107250.0,2.708,26,173,37.797660619573435
290000,170494.89,2.708,15,85,10.675288054422708
147500,141237.6,2.708,30,25,0.0034790274512488395
125000,51214.055,2.708,27,223,22.506405715292203
123500,95369.49,2.708,24,88,14.065172444403288
150000,89360.495,2.708,22,130,3.2086384746071417
150000,88182.57,2.708,15,85,1.0796317522763275
170000,143699.98,2.708,30,84,17.142155791225377
200000,55026.86,2.708,18,168,7.295134216801671
125000,118102.72,2.708,19,17,0.03132721656584181
250000,172804.725,2.708,11,46,0.06655645338469185
62500,55379.94,2.708,18,32,0.06773571435769554
270000,256731.89,2.979,25,23,0.031160595710389316
175000,138245.99,2.979,10,29,0.05832700993050821
150000,85042.655,2.292,5,27,0.05528624325233977
125000,68038.605,2.708,24,159,1.6350554412056226
300000,289285.74,2.708,28,19,34.476469256856944
230000,215452.19,2.979,10,9,0.003125585295492783
147000,111883.405,2.708,20,73,4.651150552308536
125000,37914.07,2.708,27,252,19.416120736430457
150000,145042.99,2.979,22,13,0.0066976956150028855
250000,229882.45,2.708,21,28,13.637105275556678
250000,86678.86,2.708,22,192,3.648832252030843
245000,233301.91,2.708,30,28,0.018133615871192887
250000,64444.35,2.979,15,142,7.030225038528442
140000,66582.905,2.708,24,178,2.6113632031774614
60000,50979.38,2.708,29,78,5.259555131815432
119500,91616.62,2.708,29,115,8.494894183299039
259000,169095.11,2.979,23,123,6.025581328984117
300000,157755.42,2.708,29,205,29.78890455182409
300000,281818.2,2.708,25,27,15.140351544017904
150000,98995.605,2.708,16,77,5.626566105245729
115000,73070.805,2.708,16,82,10.660768030007603
150000,148508.15,2.979,18,3,0.003255867399275303
80000,76991.1,2.708,27,19,0.0012270880251890048
105000,52500.12,2.708,26,188,7.970344793429831
65000,56637.01,2.708,12,22,5.441894028343086
300000,271318.65,2.708,21,33,14.269227865966968
150000,98821.275,2.708,24,125,8.344630344901816
200000,154166.52,2.708,19,66,3.0079398523375858
150000,102180.7,2.979,13,58,15.015560943080345
78000,64877.975,2.708,8,18,3.272076082044805
199500,172093.515,2.708,19,41,29.931415464321617
250000,105281.25,2.708,20,157,5.518915409556939
150000,134320.295,2.708,24,43,9.316110928950366
200000,124288.51,2.708,13,67,13.073175303186872
295000,255552.515,2.708,19,40,78.67315100267297
85000,75615.985,2.708,28,56,0.07914184796391055
150000,89992.95,2.708,21,122,12.7397530075541
185000,167495.105,2.708,29,51,0.05618195392889902
300000,298913.045,2.979,17,1,16.12986399017973
72000,69128.81,2.708,25,18,0.04156836283800658
130000,129101.815,2.708,24,3,0.002243103925138712
150000,130014.69,2.708,25,57,0.08502266161667649
300000,246360.045,2.708,20,56,44.61851525865495
128500,118881.365,2.708,30,43,0.00646993205009494
130000,53088.98,2.708,13,100,8.314963810538757
125000,106301.195,2.708,11,23,0.0419286239775829
250000,160542.95,2.708,24,130,125.32136652860208
105000,93196.435,2.708,24,46,6.321724837238435
80000,73567.375,2.708,30,46,0.01466586570313666
210000,203400.535,2.708,27,16,24.648812415864086
218000,127618.91,2.708,28,177,15.28142049346934
138000,125348.77,2.708,14,19,0.022849571934784763
125000,96875.18,2.708,14,45,1.451226921431953
86500,80659.705,2.708,30,39,0.06151704891817644
234500,148161.775,2.708,14,71,28.444286001322325
120000,102603.115,2.708,20,46,0.011577038327232003
250000,150310.355,2.708,29,179,85.6212293842691
300000,259137.1,2.708,11,21,0.01146456433343701
125000,33225.375,2.708,15,140,29.28428216357861
300000,285576.9,2.708,15,11,22.02229363808874
165000,150242.24,2.708,28,46,0.046343646448804066
125000,119212.95,2.979,26,23,0.6370575273322174
163000,70897.625,2.708,29,234,19.141896169341635
